   6.5359477e-04	   2.3965142e-03	   3.8562092e-02	
   4.1394336e-03	   2.1786492e-03	   5.7516340e-02	
   6.9716776e-03	   4.5751634e-03	   8.8888889e-02	
   7.6252723e-03	   4.1394336e-03	   1.1307190e-01	
   4.1394336e-03	   1.0893246e-03	   1.3115468e-01	
   2.1786492e-03	   0.0000000e+00	   1.4989107e-01	
   1.3071895e-03	   0.0000000e+00	   1.6666667e-01	
   1.3071895e-03	   0.0000000e+00	   1.8235294e-01	
   1.5250545e-03	   0.0000000e+00	   1.9368192e-01	
   1.9607843e-03	   4.3572985e-04	   1.9847495e-01	
   2.3965142e-03	   4.3572985e-04	   2.0566449e-01	
   3.2679739e-03	   6.5359477e-04	   2.2396514e-01	
   5.0108932e-03	   2.8322440e-03	   2.4204793e-01	
   4.1394336e-03	   1.7429194e-03	   2.5424837e-01	
   2.3965142e-03	   1.7429194e-03	   2.6427015e-01	
   1.9607843e-03	   1.5250545e-03	   2.7472767e-01	
   2.6143791e-03	   1.0893246e-03	   2.8823529e-01	
   2.3965142e-03	   1.0893246e-03	   3.0000000e-01	
   1.7429194e-03	   6.5359477e-04	   3.0849673e-01	
   1.0893246e-03	   2.1786492e-04	   3.1677560e-01	
   1.0893246e-03	   2.1786492e-04	   3.2200436e-01	
   6.5359477e-04	   4.3572985e-04	   3.2788671e-01	
   1.5250545e-03	   6.5359477e-04	   3.3529412e-01	
   3.2679739e-03	   2.6143791e-03	   3.4335512e-01	
   4.3572985e-03	   2.3965142e-03	   3.5032680e-01	
   5.0108932e-03	   1.3071895e-03	   3.5991285e-01	
   6.5359477e-03	   8.7145969e-04	   3.6819172e-01	
   9.8039216e-03	   1.3071895e-03	   3.7429194e-01	
   1.3943355e-02	   6.5359477e-04	   3.8039216e-01	
   1.5904139e-02	   4.3572985e-04	   3.8888889e-01	
   1.6339869e-02	   2.1786492e-04	   3.9520697e-01	
   1.9825708e-02	   4.3572985e-04	   4.0348584e-01	
   2.4836601e-02	   1.9607843e-03	   4.1176471e-01	
   2.7015251e-02	   3.7037037e-03	   4.1677560e-01	
   3.0065359e-02	   3.2679739e-03	   4.2200436e-01	
   3.2897603e-02	   1.0893246e-03	   4.2657952e-01	
